Data da Geração: 23/12/2025;;;;;;;;;;;;;;;;;;;;;;;
Código do Contrato: 976;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato:;;;;;;;;;;;;;;;;;;;;;;;
Cliente: CENTAURO ENGENHARIA E INFORMATICA LTDA - EPP;;;;;;;;;;;;;;;;;;;;;;;
Código da Fatura: 408570;;;;;;;;;;;;;;;;;;;;;;;
Mês de referência: dez./2025;;;;;;;;;;;;;;;;;;;;;;;
Período apurado: 01/12/2025 à 31/12/2025;;;;;;;;;;;;;;;;;;;;;;;
Vencimento: 05/01/2026;;;;;;;;;;;;;;;;;;;;;;;
Status da fatura: Aberto;;;;;;;;;;;;;;;;;;;;;;;
Código;Data da Transação;Hora da Transação;Data do Processamento;Tipo de Transação;Data da ativação;Quantidade de requisições;Placa;Tipo de Veículo;Marca do Veículo;Modelo do Veículo;TAG;Tipo de Tag;Apelido;Hierarquia;Categoria Cadastrada;Categoria cobrada;Estabelecimento;Endereço;Valor da Transação(R$);Valor utilizado de vale-pedágio(R$);Valor cobrado(R$);Valor Pago;MDF-e
cd181c24-a800-44d8-84e1-38dada2187a0;01/12/2025;07:20:20;01/12/2025 07:21:19;Pedágio;;;TOL4D72;Passeio;FIAT;STRADA FREEDOM CD13;"6790100009073916	";Tag;STRADA FREEDOM CD13;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-493, KM 112+700, Itaguaí - RJ;-9,98;0,00;-9,98;;Não
dbca6c39-eb4c-4a61-819a-1faa4b9b2d2f;01/12/2025;07:30:08;01/12/2025 07:34:30;Pedágio;;;TOL4D72;Passeio;FIAT;STRADA FREEDOM CD13;"6790100009073916	";Tag;STRADA FREEDOM CD13;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-116, KM 207+100, Seropédica - RJ;-15,58;0,00;-15,58;;Não
46a0b131-38d2-48cd-9218-a9a3b3911628;01/12/2025;07:39:56;01/12/2025 07:41:04;Pedágio;;;LQS5041;Passeio;FIAT;UNO;"6790100000232487	";Tag;UNO;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-116, KM 207+100, Seropédica - RJ;-15,58;0,00;-15,58;;Não
2fc7a493-b079-408a-bee3-22f98f5b343c;01/12/2025;07:41:21;01/12/2025 07:42:15;Pedágio;;;QXL0J20;Passeio;RENAULT;KWID;"6790100003644134	";Tag;KWID;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-493, KM 112+700, Itaguaí - RJ;-9,98;0,00;-9,98;;Não
319b92dd-5077-4115-b86c-2b06572b7f61;01/12/2025;09:42:58;01/12/2025 09:43:36;Pedágio;;;TOJ0A44;Passeio;FIAT;FIAT ARGO;"6790100009571836	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-493, KM 112+700, Itaguaí - RJ;-9,98;0,00;-9,98;;Não
e24f6087-beee-49a4-a48c-df8c596ce37a;01/12/2025;09:49:43;01/12/2025 09:49:58;Pedágio;;;TOJ0A45;Passeio;FIAT;FIAT ARGO;"6790100009571695	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Ponte;Ponte Presidente Costa e Silva, KM 322+000, Niterói - RJ;-6,20;0,00;-6,20;;Não
709ef723-06f9-4662-8191-df803553768a;01/12/2025;09:52:29;01/12/2025 10:03:51;Pedágio;;;TOJ0A44;Passeio;FIAT;FIAT ARGO;"6790100009571836	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Rio Santos, KM 419+900, Itaguaí - RJ;-4,56;0,00;-4,56;;Não
ceba77aa-b5e6-406f-8b1a-4bc59af75f3a;01/12/2025;10:24:39;01/12/2025 10:36:28;Pedágio;;;TOJ0A44;Passeio;FIAT;FIAT ARGO;"6790100009571836	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Rio Santos, KM 447+300, Mangaratiba - RJ;-4,56;0,00;-4,56;;Não
e10ae5d5-54b0-433a-8abb-b0fc2f4c1126;01/12/2025;11:14:39;01/12/2025 12:17:07;Pedágio;;;TOJ0A45;Passeio;FIAT;FIAT ARGO;"6790100009571695	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;ViaLagos;RJ-124, KM 021+500, Rio Bonito - RJ;-30,60;0,00;-30,60;;Não
24e090ce-d693-4095-832d-951863bcdb42;01/12/2025;13:18:26;01/12/2025 13:18:50;Pedágio;;;TOJ0A40;Passeio;FIAT;FIAT ARGO;"6790100009572370	";Tag;FIAT ARGO;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Rio Minas;BR-116, KM 118+200, Magé - RJ;-18,34;0,00;-18,34;;Não
