Data da Geração: 01/12/2025;;;;;;;;;;;;;;;;;;;;;;;
Código do Contrato: 976;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato:;;;;;;;;;;;;;;;;;;;;;;;
Cliente: CENTAURO ENGENHARIA E INFORMATICA LTDA - EPP;;;;;;;;;;;;;;;;;;;;;;;
Código da Fatura: 394429;;;;;;;;;;;;;;;;;;;;;;;
Mês de referência: nov./2025;;;;;;;;;;;;;;;;;;;;;;;
Período apurado: 01/11/2025 à 30/11/2025;;;;;;;;;;;;;;;;;;;;;;;
Vencimento: 05/12/2025;;;;;;;;;;;;;;;;;;;;;;;
Status da fatura: A Pagar;;;;;;;;;;;;;;;;;;;;;;;
Código;Data da Transação;Hora da Transação;Data do Processamento;Tipo de Transação;Data da ativação;Quantidade de requisições;Placa;Tipo de Veículo;Marca do Veículo;Modelo do Veículo;TAG;Tipo de Tag;Apelido;Hierarquia;Categoria Cadastrada;Categoria cobrada;Estabelecimento;Endereço;Valor da Transação(R$);Valor utilizado de vale-pedágio(R$);Valor cobrado(R$);Valor Pago;MDF-e
6685873;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;24/02/2022;;KQW4792;Passeio;FIAT;PALIO;"6790200000365350	";Tag;PALIO;;;;;;-11,30;0,00;-11,30;;Não
6685876;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;24/02/2022;;RQR3J79;Passeio;RENAULT;OROCH;"6790200000376845	";Tag;OROCH;;;;;;-11,30;0,00;-11,30;;Não
6685881;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;03/03/2022;;RQR3J33;Passeio;RENAULT;OROCH;"6790200000351632	";Tag;OROCH;;;;;;-11,30;0,00;-11,30;;Não
6685883;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;25/11/2022;;PUC3186;Passeio;FIAT;UNO VIVACE 1.0;"6790100000821776	";Tag;UNO VIVACE;;;;;;-11,30;0,00;-11,30;;Não
6685885;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;24/02/2022;;LQS5041;Passeio;FIAT;UNO;"6790100000232487	";Tag;UNO;;;;;;-11,30;0,00;-11,30;;Não
6685887;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;24/02/2022;;LRJ3D09;Passeio;CHEVROLET;s10;"6790100001995868	";Tag;s10;;;;;;-11,30;0,00;-11,30;;Não
6685889;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;25/11/2022;;PVP5398;Passeio;CHEVROLET;CHEVROLET MONTANA LS;"6790100000137058	";Tag;CHEVROLET MONTANA LS;;;;;;-11,30;0,00;-11,30;;Não
6685891;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;30/11/2023;;RMR6D75;Passeio;MITSUBISHI;TRITON SPO GL;"6790100000196989	";Tag;L200;;;;;;-11,30;0,00;-11,30;;Não
6685893;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;18/01/2024;;RMS4F05;Passeio;TOYOTA;/TOYOTA HILUX CDLOWM;"6790100000196997	";Tag;HILUX;;;;;;-11,30;0,00;-11,30;;Não
6685895;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;19/04/2024;;QXL0J20;Passeio;RENAULT;KWID;"6790100003644134	";Tag;KWID;;;;;;-11,30;0,00;-11,30;;Não
6685897;01/12/2025;07:57:42;01/12/2025 07:57:42;Mensalidade de Tag;24/02/2022;;KZP9I09;Passeio;CHEVROLET;s10;"6790100001694933	";Tag;s10;;;;;;-11,30;0,00;-11,30;;Não
